REGION,Region,LOCATION,Country,INC,Income,VAR,Variable,TIME,Year,Value,Flag Codes,Flags
ASI,Asia,AUS,Australia,HIN,High income,DF_HR_LAW,Law,2019,2019,0.5,,
ASI,Asia,AUS,Australia,HIN,High income,DF_HR_ATT,Attitudes,2019,2019,21.1,,
ASI,Asia,AUS,Australia,HIN,High income,DF_HR_PRACT,Practice,2019,2019,1.82,,
ASI,Asia,AUS,Australia,HIN,High income,DF_DV_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,DF_IN_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RPI_VAW_LAW,Law,2019,2019,0.75,,
ASI,Asia,AUS,Australia,HIN,High income,RPI_VAW_ATT,Attitudes,2019,2019,3.2,,
ASI,Asia,AUS,Australia,HIN,High income,RPI_VAW_PRACT,Practice,2019,2019,16.9,,
ASI,Asia,AUS,Australia,HIN,High income,RPI_FGM_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RPI_MW_PRACT,Practice,2019,2019,105.5,,
ASI,Asia,AUS,Australia,HIN,High income,RPI_RA_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RPI_RA_PRACT,Practice,2019,2019,11,,
ASI,Asia,AUS,Australia,HIN,High income,RAPFR_SAL_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RAPFR_SANL_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RAPFR_SAFS_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RAPFR_SAFS_PRACT,Practice,2019,2019,50,,
ASI,Asia,AUS,Australia,HIN,High income,RAPFR_WR_LAW,Law,2019,2019,0.25,,
ASI,Asia,AUS,Australia,HIN,High income,RAPFR_WR_ATT,Attitudes,2019,2019,1,,
ASI,Asia,AUS,Australia,HIN,High income,RAPFR_WR_PRACT,Practice,2019,2019,36.6,,
ASI,Asia,AUS,Australia,HIN,High income,RCL_CR_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RCL_PV_LAW,Law,2019,2019,0.5,,
ASI,Asia,AUS,Australia,HIN,High income,RCL_PV_ATT,Attitudes,2019,2019,21.9,,
ASI,Asia,AUS,Australia,HIN,High income,RCL_PV_PRACT,Practice,2019,2019,28.7,,
ASI,Asia,AUS,Australia,HIN,High income,RCL_FM_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RCL_FM_PRACT,Practice,2019,2019,78,,
ASI,Asia,AUS,Australia,HIN,High income,RCL_AJ_LAW,Law,2019,2019,0,,
ASI,Asia,AUS,Australia,HIN,High income,RCL_AJ_PRACT,Practice,2019,2019,59,,
ALL,All regions,AUS,Australia,HIN,High income,DF_HR_LAW,Law,2019,2019,0.5,,
ALL,All regions,AUS,Australia,HIN,High income,DF_HR_ATT,Attitudes,2019,2019,21.1,,
ALL,All regions,AUS,Australia,HIN,High income,DF_HR_PRACT,Practice,2019,2019,1.82,,
ALL,All regions,AUS,Australia,HIN,High income,DF_DV_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,DF_IN_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RPI_VAW_LAW,Law,2019,2019,0.75,,
ALL,All regions,AUS,Australia,HIN,High income,RPI_VAW_ATT,Attitudes,2019,2019,3.2,,
ALL,All regions,AUS,Australia,HIN,High income,RPI_VAW_PRACT,Practice,2019,2019,16.9,,
ALL,All regions,AUS,Australia,HIN,High income,RPI_FGM_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RPI_MW_PRACT,Practice,2019,2019,105.5,,
ALL,All regions,AUS,Australia,HIN,High income,RPI_RA_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RPI_RA_PRACT,Practice,2019,2019,11,,
ALL,All regions,AUS,Australia,HIN,High income,RAPFR_SAL_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RAPFR_SANL_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RAPFR_SAFS_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RAPFR_SAFS_PRACT,Practice,2019,2019,50,,
ALL,All regions,AUS,Australia,HIN,High income,RAPFR_WR_LAW,Law,2019,2019,0.25,,
ALL,All regions,AUS,Australia,HIN,High income,RAPFR_WR_ATT,Attitudes,2019,2019,1,,
ALL,All regions,AUS,Australia,HIN,High income,RAPFR_WR_PRACT,Practice,2019,2019,36.6,,
ALL,All regions,AUS,Australia,HIN,High income,RCL_CR_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RCL_PV_LAW,Law,2019,2019,0.5,,
ALL,All regions,AUS,Australia,HIN,High income,RCL_PV_ATT,Attitudes,2019,2019,21.9,,
ALL,All regions,AUS,Australia,HIN,High income,RCL_PV_PRACT,Practice,2019,2019,28.7,,
ALL,All regions,AUS,Australia,HIN,High income,RCL_FM_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RCL_FM_PRACT,Practice,2019,2019,78,,
ALL,All regions,AUS,Australia,HIN,High income,RCL_AJ_LAW,Law,2019,2019,0,,
ALL,All regions,AUS,Australia,HIN,High income,RCL_AJ_PRACT,Practice,2019,2019,59,,
EUR,Europe,AUT,Austria,HIN,High income,DF_HR_LAW,Law,2019,2019,0.5,,
EUR,Europe,AUT,Austria,HIN,High income,DF_HR_ATT,Attitudes,2019,2019,58.3,,
EUR,Europe,AUT,Austria,HIN,High income,DF_HR_PRACT,Practice,2019,2019,1.95,,
EUR,Europe,AUT,Austria,HIN,High income,DF_DV_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,DF_IN_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RPI_VAW_LAW,Law,2019,2019,0.25,,
EUR,Europe,AUT,Austria,HIN,High income,RPI_VAW_ATT,Attitudes,2019,2019,3,,
EUR,Europe,AUT,Austria,HIN,High income,RPI_VAW_PRACT,Practice,2019,2019,13,,
EUR,Europe,AUT,Austria,HIN,High income,RPI_FGM_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RPI_MW_PRACT,Practice,2019,2019,106.2,,
EUR,Europe,AUT,Austria,HIN,High income,RPI_RA_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RPI_RA_PRACT,Practice,2019,2019,10,,
EUR,Europe,AUT,Austria,HIN,High income,RAPFR_SAL_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RAPFR_SAL_PRACT,Practice,2019,2019,34.5,,
EUR,Europe,AUT,Austria,HIN,High income,RAPFR_SANL_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RAPFR_SAFS_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RAPFR_SAFS_PRACT,Practice,2019,2019,51.1,,
EUR,Europe,AUT,Austria,HIN,High income,RAPFR_WR_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RAPFR_WR_ATT,Attitudes,2019,2019,5,,
EUR,Europe,AUT,Austria,HIN,High income,RAPFR_WR_PRACT,Practice,2019,2019,31.8,,
EUR,Europe,AUT,Austria,HIN,High income,RCL_CR_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RCL_PV_LAW,Law,2019,2019,0.5,,
EUR,Europe,AUT,Austria,HIN,High income,RCL_PV_PRACT,Practice,2019,2019,34.4,,
EUR,Europe,AUT,Austria,HIN,High income,RCL_FM_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RCL_FM_PRACT,Practice,2019,2019,50.9,,
EUR,Europe,AUT,Austria,HIN,High income,RCL_AJ_LAW,Law,2019,2019,0,,
EUR,Europe,AUT,Austria,HIN,High income,RCL_AJ_PRACT,Practice,2019,2019,49.3,,
ALL,All regions,AUT,Austria,HIN,High income,DF_HR_LAW,Law,2019,2019,0.5,,
ALL,All regions,AUT,Austria,HIN,High income,DF_HR_ATT,Attitudes,2019,2019,58.3,,
ALL,All regions,AUT,Austria,HIN,High income,DF_HR_PRACT,Practice,2019,2019,1.95,,
ALL,All regions,AUT,Austria,HIN,High income,DF_DV_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,DF_IN_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RPI_VAW_LAW,Law,2019,2019,0.25,,
ALL,All regions,AUT,Austria,HIN,High income,RPI_VAW_ATT,Attitudes,2019,2019,3,,
ALL,All regions,AUT,Austria,HIN,High income,RPI_VAW_PRACT,Practice,2019,2019,13,,
ALL,All regions,AUT,Austria,HIN,High income,RPI_FGM_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RPI_MW_PRACT,Practice,2019,2019,106.2,,
ALL,All regions,AUT,Austria,HIN,High income,RPI_RA_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RPI_RA_PRACT,Practice,2019,2019,10,,
ALL,All regions,AUT,Austria,HIN,High income,RAPFR_SAL_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RAPFR_SAL_PRACT,Practice,2019,2019,34.5,,
ALL,All regions,AUT,Austria,HIN,High income,RAPFR_SANL_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RAPFR_SAFS_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RAPFR_SAFS_PRACT,Practice,2019,2019,51.1,,
ALL,All regions,AUT,Austria,HIN,High income,RAPFR_WR_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RAPFR_WR_ATT,Attitudes,2019,2019,5,,
ALL,All regions,AUT,Austria,HIN,High income,RAPFR_WR_PRACT,Practice,2019,2019,31.8,,
ALL,All regions,AUT,Austria,HIN,High income,RCL_CR_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RCL_PV_LAW,Law,2019,2019,0.5,,
ALL,All regions,AUT,Austria,HIN,High income,RCL_PV_PRACT,Practice,2019,2019,34.4,,
ALL,All regions,AUT,Austria,HIN,High income,RCL_FM_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RCL_FM_PRACT,Practice,2019,2019,50.9,,
ALL,All regions,AUT,Austria,HIN,High income,RCL_AJ_LAW,Law,2019,2019,0,,
ALL,All regions,AUT,Austria,HIN,High income,RCL_AJ_PRACT,Practice,2019,2019,49.3,,
EUR,Europe,BEL,Belgium,HIN,High income,DF_HR_LAW,Law,2019,2019,0.5,,
EUR,Europe,BEL,Belgium,HIN,High income,DF_HR_ATT,Attitudes,2019,2019,32,,
EUR,Europe,BEL,Belgium,HIN,High income,DF_HR_PRACT,Practice,2019,2019,1.55,,
EUR,Europe,BEL,Belgium,HIN,High income,DF_DV_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,DF_IN_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RPI_VAW_LAW,Law,2019,2019,0.5,,
EUR,Europe,BEL,Belgium,HIN,High income,RPI_VAW_ATT,Attitudes,2019,2019,2,,
EUR,Europe,BEL,Belgium,HIN,High income,RPI_VAW_PRACT,Practice,2019,2019,24,,
EUR,Europe,BEL,Belgium,HIN,High income,RPI_FGM_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RPI_MW_PRACT,Practice,2019,2019,104.7,,
EUR,Europe,BEL,Belgium,HIN,High income,RPI_RA_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RPI_RA_PRACT,Practice,2019,2019,7,,
EUR,Europe,BEL,Belgium,HIN,High income,RAPFR_SAL_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RAPFR_SAL_PRACT,Practice,2019,2019,15.1,,
EUR,Europe,BEL,Belgium,HIN,High income,RAPFR_SANL_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RAPFR_SAFS_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RAPFR_SAFS_PRACT,Practice,2019,2019,50.8,,
EUR,Europe,BEL,Belgium,HIN,High income,RAPFR_WR_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RAPFR_WR_ATT,Attitudes,2019,2019,2,,
EUR,Europe,BEL,Belgium,HIN,High income,RAPFR_WR_PRACT,Practice,2019,2019,33.6,,
EUR,Europe,BEL,Belgium,HIN,High income,RCL_CR_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RCL_PV_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RCL_PV_PRACT,Practice,2019,2019,38,,
EUR,Europe,BEL,Belgium,HIN,High income,RCL_FM_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RCL_FM_PRACT,Practice,2019,2019,73.4,,
EUR,Europe,BEL,Belgium,HIN,High income,RCL_AJ_LAW,Law,2019,2019,0,,
EUR,Europe,BEL,Belgium,HIN,High income,RCL_AJ_PRACT,Practice,2019,2019,48.2,,
ALL,All regions,BEL,Belgium,HIN,High income,DF_HR_LAW,Law,2019,2019,0.5,,
