"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants"
"Afghanistan",2728785,2392174,5120959,53.2866012010641,46.7133987989359,74974,74788,149762,50.0620985296671,49.9379014703329
"Albania",619182,587910,1207092,51.2953445139227,48.7046554860773,25054,24106,49160,50.9641985353946,49.0358014646054
"Algeria",1041695,903340,1945035,53.5566198037567,46.4433801962433,131596,117479,249075,52.8338853758908,47.1661146241092
"American_Samoa",912,905,1817,50.1926252063842,49.8073747936158,12012,11527,23539,51.0302051913845,48.9697948086155
"Andorra",4326,4788,9114,47.4654377880184,52.5345622119816,23091,22011,45102,51.1972861513902,48.8027138486098
"Angola",325565,336037,661602,49.2085876403034,50.7914123596966,341719,327760,669479,51.042527099431,48.957472900569
"Anguilla",1409,1298,2707,52.050240118212,47.949759881788,2694,2985,5679,47.4379292128896,52.5620707871104
"Antigua_and_Barbuda",24957,30141,55098,45.2956550147011,54.7043449852989,13026,16181,29207,44.598897524566,55.401102475434
"Argentina",490127,523362,1013489,48.3603670094101,51.6396329905899,1018573,1194306,2212879,46.0293129448108,53.9706870551892
"Armenia",517302,447562,964864,53.613980830459,46.386019169541,78001,112158,190159,41.0188316093374,58.9811683906626
"Aruba",8654,10988,19642,44.0586498319927,55.9413501680073,16295,20237,36532,44.6047300996387,55.3952699003613
"Australia",277461,299877,577338,48.0586762000769,51.9413237999231,3744438,3804832,7549270,49.6000010597051,50.3999989402949
"Austria",268094,307917,576011,46.5432083762289,53.4567916237711,873536,906321,1779857,49.0789990431816,50.9210009568184
"Azerbaijan",622051,533816,1155867,53.8168318673342,46.1831681326658,121640,132247,253887,47.9110785506938,52.0889214493062
"Bahamas",19382,27091,46473,41.7059367804962,58.2940632195038,31844,31118,62962,50.5765382294082,49.4234617705918
"Bahrain",24221,35942,60163,40.2589631501089,59.7410368498911,535728,205433,741161,72.2822706537446,27.7177293462554
