"country","Inheritance_law","Violence_against_women_law","Violence_against_women_attitudes","percentage_violence","Citizenship_rights","Inequality_voting_rights","percentage_women_parliament","Insecurity_feeling","Access_to_justice","Child_marriage_law","Girls_married","total"
"Australia",0,0.75,3.2,16.9,0,0.5,28.7,78,0,0.5,0.6,2.86656994828589
"Austria",0,0.25,3,13,0,0.5,34.4,50.9,0,0.5,2.8,1.71821032875222
"Belgium",0,0.5,2,24,0,0,38,73.4,0,0.5,2.2,2.76589905455665
"Canada",0,0.25,7.8,1.9,0,0.5,27,80.4,0,0.75,1.7,2.55519921971445
"Czechia",0,0.75,2,21,0,0.5,22,77.1,0.25,0.5,0.2,4.00308916214567
"Denmark",0,0.5,0,32,0,0,37.4,74.6,0,0,0.1,3.09018281290586
"Finland",0,0.75,11.2,30,0,0,42,91.1,0,0.5,0.3,4.77654771505578
"France",0.25,0.25,6.6,26,0,0,39,58.5,0,0.5,2.8,2.75746124814937
"Germany",0,0.75,19.6,22,0,0.5,30.7,55.3,0,0.25,0.4,2.76871654474284
"Greece",0.5,0.25,2,19,0,0.25,18.3,62.1,0,0.5,1.9,3.18704698532502
"Hungary",0.5,0.75,8.7,21,0,0.5,10.1,71.2,0,0.5,0.7,3.99161980071053
"Iceland",0,0.25,9.9,22.4,0,0,38.1,85.8,0,0.5,0.5,3.51376366718252
"Ireland",0,0.25,1,15,0,0,22.2,61.5,0,0.5,0.3,1.63064704392278
"Italy",0,0.75,5.3,19,0,0,31,59.2,0,0.5,0.2,2.82435420753033
"Japan",0,0.75,8.9,15.4,0,0.5,10.1,66.1,0,0.5,0.6,3.28587621030348
"Korea,_Rep.",0,0.25,18.4,16.5,0.25,0.25,17,51.3,0,0.5,0.2,2.85970875627952
"Luxembourg",0,0.75,2,22,0,0,28.3,56,0,0.5,1.1,3.47010822903498
"Netherlands",0,0.75,6.4,25,0,0.5,36,80.6,0,0.25,0.1,3.25629285091137
"New_Zealand",0,0.75,7.7,35,0,0.5,38.3,79.2,0,0.5,0.8,3.48167819780398
"Norway",0,0.25,9.9,27,0,0.5,41.4,81.6,0,0.5,0.1,3.06469009563483
"Poland",0,0.75,7.9,13,0,0,28,66.2,0,0.5,1.2,3.62342808782006
"Portugal",0,0.25,2,19,0,0,34.8,73.8,0,0.5,0.7,2.50568453752337
"Slovak_Republic",0,0.25,5,23,0,0.5,20,67.3,0.25,0.75,1.1,3.43442380988351
"Spain",0.25,0.5,9.6,13,0,0,39.1,58.4,0,0.5,4,2.94329974048511
"Sweden",0,0.25,10.2,28,0,0.5,43.6,74.3,0,0,0.3,2.22832190629048
"Switzerland",0,0.75,15.2,9.8,0,0,32.5,55.6,0,0,0.4,2.28165153362319
"United_Kingdom",0.25,0.75,10.2,29,0,0,32,55.8,0,0.5,3,3.08104819287875
"United_States",0,0.5,11,35.6,0,0.5,19.4,72.4,0,0.75,2.1,2.94018373673415
"Antigua_and_Barbuda",0,0.75,5.3,16.5,0,0.5,11.1,56.1,0,0.5,3.9,3.12552602197067
"Argentina",0,0.75,11.6,28,0,0,38.9,61.3,0,0.5,12.9,4.31427588996655
"Bahamas",0,0.5,16.1,12.6,0.75,0.5,12.8,46.9,0,0.5,2.4,3.45813750634319
"Bahrain",1,0.75,54.2,56.9,0.75,0.5,7.5,67.6,0.75,1,5.5,7.80925014651542
"Barbados",0,0.75,3.3,33.2,0.75,0.5,16.7,55.4,0,0.5,0,4.15448898525907
"Brunei_Darussalam",1,0.75,63,33.2,1,0.5,9.1,56.1,0.75,0.5,3.2,7.03363786533732
"Chile",0,0.75,10.3,6.7,0,0,22.6,67.5,0,0.5,5.9,3.56608087383754
"Croatia",0,0.25,4.4,13,0,0,18.5,63.3,0.25,0.5,2,1.89721236920198
"Cyprus",0,0.25,10.5,15,0,0.5,17.9,80.7,0,0.5,3.2,2.91685011583437
"Estonia",0,0.25,16.9,20,0,0.5,26.7,75.4,0,0.5,0.5,3.12151024292196
"Israel",0.25,0.75,1.5,20.4,0.5,0.25,27.5,68.8,0.75,0.5,2.5,5.22912142259872
"Kuwait",1,0.75,37,27.7,1,0.5,3.1,46.9,0.75,0.75,5.6,6.50457127797696
